Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,-149.07107263513512,22.65210225313506,-343.2146,-121.066154,86.43513513513514,54.0,192.0,0.071695068359375,-0.23196155,0.40105844,-10.363517578125,-38.79585,-0.06420701,10.363517761230469,131.6789093017578,-0.1552896499633789,-60.5805778503418,0.7436313033103943,0.0014656957937404513,80.0,40226,0.9867991209030151,0.0003,-91.53278350830078,14.607242584228516,0.508999994180536,0.5,32000,211,151
2,-150.37786735372342,28.777345921711966,-535.4436,-124.59313,85.02925531914893,49.0,216.0,-1.705242431640625,-8.387371,8.3596735,-1.7115888671875,-14.980347,7.27461,1.7115888595581055,12.35267162322998,-0.06567919254302979,-7.932734489440918,0.740358293056488,0.002069568494334817,80.0,40226,0.9920424818992615,0.000299,-92.19754791259766,15.630374908447266,0.5073366646451225,0.5,64000,453,132
3,-150.69348111449864,26.74170083756149,-324.89456,-121.76729,86.5420054200542,56.0,173.0,-3.162333984375,-8.218832,6.229775,-1.0663680419921875,-9.632759,2.7203815,1.0663679838180542,2.8555171489715576,-0.025717973709106445,-2.0298659801483154,0.7370739579200745,0.0017769684782251716,80.0,40226,0.9907948970794678,0.000298,-92.32089233398438,15.813179016113281,0.5056733452856872,0.5,96000,699,130
4,-153.6098174205801,27.305703305555962,-365.9402,-125.78692,88.38397790055248,56.0,172.0,-4.29792822265625,-8.108657,3.960188,-0.647166259765625,-6.0309057,1.6327395,0.6471661925315857,1.1452105045318604,-0.014487743377685547,-0.7945352792739868,0.73377925157547,0.0016375379636883736,80.0,40226,0.9916712045669556,0.00029699999999999996,-92.6158218383789,15.954259872436523,0.504010011618452,0.5,128000,918,146
5,-159.18251731178978,57.13782305849284,-952.22485,-124.31407,90.69602272727273,56.0,266.0,-4.76184765625,-7.9401264,1.5620573,-0.47525448608398435,-7.764014,1.5862136,0.47525444626808167,0.7691349983215332,-0.013203591108322144,-0.500128984451294,0.7304736375808716,0.0016068881377577782,80.0,40226,0.9926713109016418,0.000296,-93.39456939697266,18.888208389282227,0.5023466697765746,0.5,160000,1148,139
6,-179.6002644984326,122.34675015188296,-1907.6866,-122.73003,100.23824451410658,56.0,500.0,-5.12761962890625,-7.850292,3.6644537,-0.12831768798828125,-11.710057,2.4315996,0.1283176690340042,0.8305748105049133,-0.014669567346572876,-0.45402681827545166,0.7271569967269897,0.001658738125115633,80.0,40226,0.9974398016929626,0.00029499999999999996,-95.56028747558594,28.170804977416992,0.5006833261702077,0.5,192000,1395,129
7,-168.02409837613294,49.778516247054895,-589.9809,-125.05739,96.4833836858006,57.0,278.0,-5.2936171875,-7.438791,-1.0255482,0.5168251342773438,-3.2710886,3.7516375,-0.5168251991271973,0.8111779689788818,-0.012319326400756836,-0.5134505033493042,0.7238293290138245,0.001202620449475944,80.0,40226,1.007616639137268,0.000294,-96.037841796875,27.582714080810547,0.4990199874853069,0.5,224000,1643,129
8,-185.27277393830127,143.84793208142605,-2501.694,-125.678764,102.52564102564102,52.0,500.0,-4.6945546875,-6.1433496,-0.43724325,0.31211587524414064,-7.2521844,2.1473353,-0.3121159076690674,0.47352856397628784,-0.009598225355148315,-0.26689326763153076,0.720490574836731,0.0010922312503680587,80.0,40226,1.005074143409729,0.00029299999999999997,-97.5914535522461,33.26603317260742,0.4973566606824231,0.5,256000,1885,132
9,-183.9266640866873,164.30063813145242,-2180.6692,-123.5183,98.984520123839,54.0,500.0,-4.39061474609375,-5.759339,-0.5547228,0.4124396057128906,-8.703659,2.5099392,-0.41243964433670044,0.6266980171203613,-0.012396365404129028,-0.42824724316596985,0.7171405553817749,0.0018289412837475538,80.0,40226,1.0058891773223877,0.000292,-99.08702850341797,40.7928466796875,0.4956933234498547,0.5,288000,2127,132
10,-184.36279761904763,71.74918007385061,-623.8967,-125.51604,101.58412698412698,58.0,250.0,-3.95909033203125,-5.094503,-0.62695885,0.47712353515625,-2.6357353,1.9714203,-0.4771234691143036,0.3386991024017334,-0.007081866264343262,-0.2295324206352234,0.7137795686721802,0.0009423625306226313,80.0,40226,1.0092076063156128,0.00029099999999999997,-99.87152862548828,40.08859634399414,0.49403001303756583,0.5,320000,2369,131
