Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1696.4313788659795,148.7629315179505,-2402.4614,-1284.3048,82.34536082474227,30.0,138.0,-0.15365283203125,-0.52863824,0.2242769,-112.802546875,-163.08038,-7.752473,112.80254364013672,13710.994140625,-1.789093017578125,-934.53515625,0.7436313033103943,0.001730706775560975,80.0,37086,0.9827185869216919,0.0003,-973.578857421875,67.5271224975586,0.508999994180536,32000,200,159
2,-1697.449158031088,172.47783517583645,-2777.559,-1297.7468,82.74093264248705,35.0,158.0,-2.74377197265625,-9.797887,9.410886,-2.95906201171875,-19.387592,11.884845,2.959061622619629,26.924890518188477,-0.046701669692993164,-4.518045425415039,0.7403689026832581,0.0013261762214824557,80.0,37086,0.9960753321647644,0.0002990033222591362,-973.1883544921875,68.21903228759766,0.5073421985260703,64000,854,212
3,-1695.8131443298969,156.28361081799102,-2499.9177,-1400.8257,82.47164948453609,47.0,155.0,-3.65049560546875,-10.486278,10.059186,-2.6940146484375,-19.890184,11.0478325,2.694014549255371,20.179792404174805,-0.04206347465515137,-8.16003704071045,0.7370959520339966,0.0014685043133795261,80.0,37086,0.9949048757553101,0.0002980066445182724,-973.4800415039062,65.02548217773438,0.5056843768217382,96000,1008,208
4,-1692.6291989664082,145.17580894858472,-2195.2893,-1402.1384,82.5297157622739,47.0,143.0,-4.604701171875,-10.3612995,9.631377,-2.473004150390625,-18.816637,3.696741,2.4730043411254883,12.322389602661133,-0.029850006103515625,-5.861968994140625,0.7338122725486755,0.0012709865113720298,80.0,37086,0.9935107231140137,0.0002970099667774086,-972.9354858398438,64.90474700927734,0.5040265646673453,128000,1163,206
5,-1686.157138242894,151.07817508521904,-2643.731,-1296.7992,82.62015503875969,37.0,171.0,-5.7732529296875,-10.231008,7.7674193,-2.0733173828125,-14.8061695,1.1077724,2.073317289352417,7.29811429977417,-0.020289897918701172,-3.572756052017212,0.7305175065994263,0.0010312693193554878,80.0,37086,0.9946921467781067,0.00029601328903654483,-972.0538940429688,64.67704772949219,0.50236876760236,160000,1317,206
6,-1702.6960078534032,160.38935773079967,-2523.8164,-1398.6067,83.64397905759162,41.0,186.0,-6.886962890625,-10.333038,5.05912,-1.6714625244140624,-11.099972,1.1318394,1.6714624166488647,4.352166175842285,-0.01563429832458496,-2.087682008743286,0.7272123694419861,0.001031805295497179,80.0,37086,0.9945878982543945,0.00029501661129568106,-971.7305297851562,64.59354400634766,0.5007109615988222,192000,1474,203
7,-1696.1074675324676,166.8210644147421,-2470.8528,-1207.8087,82.97922077922078,29.0,193.0,-7.9718720703125,-10.443617,1.8241804,-1.2799637451171875,-9.663089,0.7165755,1.2799636125564575,2.4382193088531494,-0.009289979934692383,-1.0249587297439575,0.7238959074020386,0.0009579691104590893,80.0,37086,0.9961031079292297,0.00029401993355481724,-971.5277709960938,65.0722427368164,0.4990531530460079,224000,1630,205
8,-1753.345994475138,199.30377436249952,-3069.4207,-1445.4785,88.26243093922652,49.0,206.0,-8.4162294921875,-10.554702,0.36500975,-1.0840968017578125,-10.2243185,1.432203,1.0840966701507568,1.7312111854553223,-0.009333491325378418,-0.743578314781189,0.7205685973167419,0.0010556068737059832,80.0,37086,0.9946007132530212,0.00029302325581395347,-971.9515991210938,65.69287872314453,0.4973953486081037,256000,1786,205
9,-1768.705861581921,236.83218927271312,-3892.1245,-1414.0214,90.24293785310735,50.0,215.0,-8.858890625,-10.6751995,0.34827727,-0.8901390380859375,-9.773094,1.3465466,0.8901390433311462,1.2189857959747314,-0.007429718971252441,-0.5489171743392944,0.7172299027442932,0.0008783502271398902,80.0,37086,0.9949592351913452,0.0002920265780730897,-972.4037475585938,67.18037414550781,0.49573755522300433,288000,1942,205
10,-1792.3339285714285,231.90626185102093,-3646.407,-1429.3346,91.37428571428572,44.0,233.0,-9.319783203125,-10.876252,-3.131463,-0.7245796508789063,-6.868537,0.7851305,0.7245795726776123,0.7840631604194641,-0.005469977855682373,-0.30443716049194336,0.7138803005218506,0.0009605714003555477,80.0,37086,0.9954822063446045,0.0002910299003322259,-973.2434692382812,67.78266143798828,0.49407972120219784,320000,2097,205
